PLAYERS,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,+/-,PTS
D. Green,28,1-6,0-3,3-6,1,8,9,11,1,1,0,1,+30,5
K. Durant,30,11-15,2-4,4-5,1,5,6,5,1,1,1,3,+17,28
Z. Pachulia,18,2-3,0-0,2-2,0,3,3,2,3,0,0,3,+22,6
S. Curry,29,11-18,7-12,2-2,0,5,5,9,1,0,1,1,+32,31
K. Thompson,24,9-14,4-7,4-4,0,2,2,2,0,0,1,4,+4,26
D. West,15,1-3,0-0,1-2,1,4,5,4,1,1,1,2,+6,3
K. Looney,7,2-2,1-1,0-0,1,4,5,0,0,0,0,1,+16,5
A. Iguodala,21,2-7,0-4,0-0,0,2,2,5,0,0,1,1,+12,4
J. McGee,10,3-4,0-0,2-4,0,4,4,0,0,1,2,2,+19,8
A. Varejao,9,1-1,0-0,4-4,2,1,3,2,0,1,1,2,+5,6
P. McCaw,15,0-1,0-0,0-2,0,1,1,4,0,0,1,0,+22,0
S. Livingston,17,3-4,0-0,0-0,0,2,2,2,0,0,0,0,+13,6
I. Clark,18,7-8,5-5,2-4,0,1,1,1,0,0,1,0,+17,21
