PLAYERS,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,+/-,PTS
D. Green,34,6-10,0-3,4-6,2,7,9,4,4,0,1,1,-9,16
K. Durant,35,10-16,2-4,5-8,1,4,5,3,2,1,2,1,-17,27
Z. Pachulia,19,0-0,0-0,0-0,2,1,3,3,0,0,2,1,+4,0
S. Curry,31,5-17,0-10,3-3,0,8,8,10,2,1,2,3,-5,13
K. Thompson,38,4-18,2-10,0-0,0,3,3,1,2,1,4,1,-16,10
D. West,6,2-4,0-0,0-0,1,0,1,1,0,0,0,1,-12,4
J. McAdoo,4,0-0,0-0,0-0,0,0,0,0,0,0,0,0,-2,0
K. Looney,13,5-5,0-0,1-2,2,3,5,0,0,0,1,1,-2,11
A. Iguodala,23,1-4,1-3,0-0,0,3,3,0,2,0,3,1,-22,3
J. McGee,4,0-2,0-0,0-0,0,0,0,0,0,0,1,0,-2,0
S. Livingston,20,5-5,0-0,1-1,1,0,1,4,0,0,1,1,-11,11
I. Clark,13,1-5,0-2,0-0,0,2,2,0,1,0,3,2,-6,2
