PLAYERS,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,+/-,PTS
D. Green,38,2-9,0-4,1-2,1,12,13,9,0,3,2,3,+9,5
K. Durant,38,10-16,2-4,15-16,0,4,4,4,4,1,4,2,+18,37
Z. Pachulia,22,1-5,0-0,3-3,4,6,10,4,0,0,3,1,-7,5
S. Curry,34,9-17,5-8,5-5,0,1,1,3,0,0,1,5,+2,28
K. Thompson,40,5-15,0-6,4-5,0,6,6,2,0,1,2,3,+14,14
D. West,8,2-6,0-1,0-0,1,2,3,0,0,0,0,1,+2,4
K. Looney,3,1-2,0-0,0-1,0,0,0,0,0,0,1,2,-4,2
A. Iguodala,28,2-5,0-3,0-0,1,2,3,4,2,0,0,1,+4,4
S. Livingston,14,2-3,0-0,0-1,0,1,1,1,0,0,1,2,+2,4
I. Clark,16,1-5,1-3,0-0,0,2,2,0,0,0,1,3,-10,3
