PLAYERS,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,+/-,PTS
D. Green,34,3-10,1-2,1-2,4,7,11,7,2,0,3,5,+0,8
K. Durant,39,9-19,0-3,12-12,0,17,17,6,2,2,2,2,+4,30
Z. Pachulia,17,4-6,0-0,2-2,2,9,11,1,0,0,2,2,-2,10
S. Curry,34,8-19,4-10,3-4,1,0,1,8,1,0,4,3,+4,23
K. Thompson,39,11-21,2-9,4-4,0,2,2,4,1,0,1,0,+4,28
D. West,9,1-3,0-0,1-2,1,0,1,0,0,0,1,2,+2,3
K. Looney,7,1-1,0-0,2-2,1,2,3,2,0,0,0,2,+13,4
A. Iguodala,30,4-7,1-3,0-0,0,2,2,3,1,0,0,3,+16,9
P. McCaw,10,1-1,1-1,0-0,0,0,0,0,1,0,0,1,-2,3
S. Livingston,15,2-3,0-0,0-0,0,1,1,1,0,0,1,2,-2,4
I. Clark,5,0-1,0-0,0-0,0,0,0,0,0,0,0,0,+3,0
